btc_height,btc_hash,in_upstream,first_seen_chain
256311,000000000000000be42529d3a1df23d476150c15e7042220254f4523186d5da4,no,
256558,000000000000000205dcc98671ad7a96cdcdc028bb94b3d4f9922f49ed6319f6,yes,namecoin
256558,00000000000000097dc0e4c05d2c8d386c5e7f9e378583f712095a17f9a91ce4,yes,namecoin
256558,000000000000001630b06542e86c333ae03094c80753b1fa631f70ba675668b4,yes,namecoin
256558,000000000000002dfbdd2e33bd2aa6d4f3d41a202d954c07f5221a79b1cc648f,yes,namecoin
257320,000000000000000bf3ef99e0dcdd88f7c7a57201317fb51922e723ed797ab8d7,yes,namecoin
257799,0000000000000029aa1f4563e72b875bf06990419f802ab9d869073516008228,yes,namecoin
257910,000000000000000e02d04f8c5415630b3056bd40b15c02c3f4bce775ee81fdae,yes,namecoin
258285,00000000000000119530fbfb2f3d23f4f568f587d00c346be5ff2963d776f5b1,yes,namecoin
258415,0000000000000025c3c39c43b3985de48e649bd76dcf6774873f47971cb72fe5,yes,namecoin
258437,000000000000001dbb017579223449755d61e572f7667a8fc651a37da758f672,yes,namecoin
258610,000000000000000a1002e4355fcd2fa833951db23a0ed5c88fd25ddb3afa48d6,yes,namecoin
258687,000000000000001548ff8d04ccef167a1c5c4cb3422289a691aa17c14dfc862a,no,
259749,000000000000001484b74fa986385addceceb1e2b4d74683072ce806acef6514,yes,namecoin
259766,000000000000001f64492aeedd625adc4da4af1d259b16d93fe42e9f51d76c4c,yes,
260247,000000000000000e0d0807cddc5c8a6e0fc125000adc8387de1fe2b939b1e455,yes,namecoin
260651,000000000000001b037537fe0d8a325f9eebe7dc9b22d1ccbfbfe8ad2efe74a8,yes,namecoin
260686,000000000000000cb900b6bfc93335d3c18f1a0a4c989ed757e4570ce9f9104a,yes,namecoin
261198,00000000000000168b0dfa91f97dadddaa7172829e6bc0520af99a56eb3d8706,yes,namecoin
261367,000000000000001ccfe33f9a7f555ced5cd6b9561f30e5f9f86bf492afa352cc,yes,namecoin
261419,0000000000000015a6ab8f6f2c055b1813902c58fd485903bb7a2afff1d89fcf,yes,namecoin
261870,000000000000000d75aecde297e7e57a9003480449caecf13ac75c248d6901eb,yes,namecoin
262011,000000000000000775cc6b7c3e3b2fce665773a29aa943213916dc8d90b06963,yes,namecoin
262408,000000000000000952bdf3d9b58e346e15ce83b9ff07ec9b5294701dae970a94,yes,namecoin
262541,000000000000000e4c4f771e9ea33f66cdc1309b5027f6f2405acc4b07585f18,yes,namecoin
262563,0000000000000000088ffaf39c763aa5e82103f62ce305bc62f17df580e9234c,yes,namecoin
262722,00000000000000012d66fa0c57a8459af9314c966a66fc385a1d28798ff746d6,yes,i0coin
262725,0000000000000001a5728d9102237d31bd5282b104d87eaa33e1d8366cff36ca,yes,namecoin
263909,0000000000000005dae46824234985918797c352bd1d19401feeac387bb6cc73,yes,
263930,000000000000000c470c9d1658be51e6bb04d64552d12f52d3f32e71e4eb4a17,yes,namecoin
264082,00000000000000134cfa980838ea2214767299352ea3b74b083076b8f970ff0d,yes,namecoin
264402,000000000000000db0e1da2efa61c99436ab15a03e5a4e20b51d4749fe6e2f3a,yes,i0coin
264752,000000000000000db2cd4b3f88a2ea37d994dae14e659026cfb29775682cd5ab,yes,namecoin
264774,000000000000000b0024fe1f1bd966f0839f3dd786e5c4bb000fe77a1c5755f2,yes,
265494,0000000000000002801be176364018c99dda86f4d7e428abe665a8fbd689bc65,yes,namecoin
265681,0000000000000001073fe02037273dd8229afa482a936c10182b9357ba5bdcca,no,
266044,000000000000000b267582d8c67380ce34ed4aaa67683f25df4cc05c6a16a95c,yes,namecoin
267095,000000000000000adb8097f5e3e996f260318838c947abc794aa5ce9de913b81,yes,
