btc_height,btc_hash,in_upstream,first_seen_chain
268298,00000000000000049a7893d061f141f333b29425304fe6adec7c60415d2beb82,yes,namecoin
268727,000000000000000863a9a10619f4cd26c2175d6ee30902f6e6e85cfcf602e687,yes,namecoin
269607,0000000000000000a223abc1e5b10662b0eea1af15fc5a01bd77bed6ad0fb4b1,yes,namecoin
270752,00000000000000012ad03ed32dd39eecd999939e4fcf1c842b3e1649c059acd2,yes,namecoin
271665,000000000000000648f10ea7d68a4a984d6335907c44114e84b34f4603353d6d,yes,namecoin
272189,0000000000000000330d63457ce2b78fed3ac6acb5ef76bcb1b459484fba26ba,yes,
272936,000000000000000033571c0d48742ec2adb834422bdfc17137819f085bec3f2b,yes,namecoin
274147,000000000000000273043f0ff5a0a68ccb5002bbede2a8e97d897cfffe16e4f3,yes,
274671,000000000000000082e171d0e55a49ac659db08b2147d2f721e31f971c351e50,yes,
274706,000000000000000184beced8e1f69bce59fe0605b9334eb14c600d34c8c8d81f,yes,namecoin
274744,0000000000000004a555c0a9649c6ba036dc2cb3b4009cfa3f2acf42a2f48d0c,yes,namecoin
276821,0000000000000003707bbfed5173b020fbab4970ea98b79d788bfc0c6bd428d2,yes,
277548,0000000000000002d669e5a37defb89f48e2c2f93f8761f09f060914a65ce3a8,no,
277595,000000000000000370f501bad48cdfb6a6713b9d51f692c5dbc90039a9d278e5,yes,namecoin
278728,0000000000000000bdd8c1143780f52acc118385aa304813188f0a500bf11454,yes,namecoin
279015,0000000000000000c7a2966df511ce7de19c5e7ba1575c63f4905cce4f4f2cdc,yes,namecoin
279764,00000000000000020526ed2b2d9158a61fd508bf35be3cbff87f2f444973ab14,yes,
280012,00000000000000002299e21538b221248f62cc3565b6616043241dca752d127c,no,
280562,0000000000000001274c36f80da51ca016c44c368368fb5129e94e6fbb21e1e3,yes,namecoin
280567,0000000000000000cb14aa4c3fdd204790e56a9a5d8c7ba3fc84a4fa945fcceb,yes,
281334,0000000000000001c76995c3416fdb3dcf5c9b85b0ff18f60eea9d3ccb3f59e1,yes,
282325,00000000000000011ec4412adbd5990b8e286aa9150b55af3252a9f249812ac7,yes,
282967,000000000000000106a20173094612d98a452b0b4e6556ad170c4bce3610ee58,no,
283342,0000000000000001cfcd4644d9b9b28ec8675a6e5cd0c4e31b2eb5c7f94bd1eb,no,
285090,000000000000000189b367a7b94f837e9a8575c45b9e5c906c0ead98264c8ee0,yes,namecoin
285130,000000000000000125976d8cae1224afb0f85b9790257032e1dd0fdc1df1357b,no,
285818,0000000000000000f61d8b36a8642e573a81248e5d72fb479d80e14ff723c77b,yes,namecoin
285869,000000000000000132aaee801041431fa3ac66e61a5ffe240b08a25f32b863dd,yes,
286299,00000000000000000114468c1ca7d0a4fba19ba0f7f9e87e9841374e31d7cfcc,yes,namecoin
286371,0000000000000000abc0aab5990a06dcd313cfa60589edcfb4f4858388dcfe0c,yes,namecoin
287353,000000000000000026bc9230a1e7c23787bf0b0a525b9fb1706c5fbd21bcf5e8,no,
287443,00000000000000006cb09a541723399a86bc36a3ffe1624a128d88703ceb0cf6,no,
287459,000000000000000124308a2000694ed138acfd238501d840ee7025109e4c0b54,yes,namecoin
287728,00000000000000001e64d45c02bea16fd65e9633b7036d48721ccc974f5af2b8,no,
288064,00000000000000013b382f4dbe4aa4284de70311467860ab31245223856ac159,yes,
290000,0000000000000000e2c6f3b07de737386c0692c58b5ee1c3620cd121607fb736,no,
292405,0000000000000000d7601b93cbeffd1d6e39da19e8234bb4ed8f4502c8d81cf7,no,
293251,0000000000000000b7f579d8a72839494a197c897bb6b8c77d5afe77d9f41c71,yes,
293684,00000000000000004e086956d305d0f22f1cfbd97cc5953792421d088231f442,no,
294003,00000000000000002d968f98996f40b11db1b2409be709b332fb3c08bd48028f,yes,namecoin
294275,00000000000000007c6f67a470de29ce2a93928b426d5ff1dec96d66706b3be4,no,
295112,00000000000000000adcc73e8c62f817aa7b896ff21d48c36fd529701b741d5b,yes,namecoin
295817,00000000000000002c3cddfe33230124c930bdd880bb7b8095bdfa9ae87d29b9,yes,
297295,00000000000000000e83c18d7d7d26761e66186c763fd908d6f70155cf32eb49,yes,namecoin
297469,00000000000000001bb1e7050f0a7c3285a13367b155792f5ded9763e7b8045a,yes,namecoin
298036,0000000000000000953037bbfd2ad63cbe1c08c957f530aea03016b695cba8a6,yes,namecoin
299334,00000000000000001f64a823735f212b3d8d09740d1a4b8b82531ac04b416f0f,yes,namecoin
300518,00000000000000001449094123442064af9fb3ea9a2c5958416da95ca1ef5c7c,no,
301337,000000000000000038f5f0e13b2c3308d82132cca6815e525caf54134036767b,yes,namecoin
302038,00000000000000001d629af772354236bff162ec744d6905fb99b7621ece3123,no,
302478,000000000000000060bf719adc4dd47a364e03348dedc3b53831e4fdc9df6986,no,
304609,00000000000000005ac1c70e88515306d2ac4795fa56773a36779b3443adf14c,yes,
304624,00000000000000001f82cdf50c205df459abd213958c045aaa697b86cc3579d1,yes,
304853,000000000000000009ef0cc8f442b9327c71d8bc50a9c820d50f0b632eb71804,yes,
305138,00000000000000004ac89fdef43340959806c3d71fcbf7dbf9425386c305d0ac,yes,namecoin
305344,000000000000000023cde5dda5e2fdfa9ae7dba3d484f64288d4add01f92b4eb,yes,
308926,000000000000000007f396de4e4079872aa77a2d961710c9d602fdd5931cc388,yes,namecoin
310482,00000000000000002ba036a90d4821d196fe0fad108f1a129d93741e5dbe6325,no,
311796,00000000000000001fadcf195706d944e0ed801957bc4e173fa5f824a8d3ec06,yes,
312238,00000000000000001c0176302d6479bf444f4e0e606b00e0e940daa14b2e802a,no,
312668,00000000000000001cc50e6b364dd2e0077e934bcb76d36ecdf404eba28c7ab0,yes,namecoin
315531,00000000000000000f9fa64db62b347043ca892bb190bf6820a49c02d982d741,yes,namecoin
315793,000000000000000009a3c2a869168dba3612c1bdad1198ddafea26d901967e65,yes,namecoin
318202,000000000000000010508990102a18f532ffdc2576fa6b858b60574441f8ebf4,yes,namecoin
318350,00000000000000001f6cefe536a34e659532f59277fe9403e427e6a6bfd6eee4,yes,
318893,0000000000000000098172a320e422e1ce0f1ef08b0331c6c89884a385f68908,yes,
320820,0000000000000000028ac57f96a4426284c6cb08f0e455ca47c7b20db9d72709,yes,namecoin
322382,00000000000000000e27b632d82097b7f1c280d255f2465f62e31c63281dd470,yes,namecoin
323090,00000000000000001dbcea891ed1539ac7e402d47f2590f9035350db3db64bc8,yes,namecoin
326341,00000000000000000a9895ee1692a52dfa2e4f839023ac66d21cb662c381ffa5,yes,namecoin
328073,00000000000000001c64d453ca98f0565f199a8d789c79c42eeb4e261e45caec,no,
329838,00000000000000001132ee7db295e56abccd687fa2fa2790831e501445defd24,yes,namecoin
