btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,xmy_height,classification,validation_status,expected_nbits
545312,0000000000000000000f1faa71a8fe7544556a2d89bbc0ddafd57c2350fa8114,000000000000000000109f4dca5d0fea2c03cd165d1b9356f8f07e6aa8c785f0,1539263620,1725c191,03205208042c67c15bfabe6d6dbab4113ee69b0d67762377a36df2ffa32f3bf74ed7c07bb5b166afd5f2f51eb68000000000000000082000a78a08130000062f081801002f,76a9143738752136c7b5deebbded93274d69c90d3b208f88ac,00000020f085c7a86a7ef0f856931b5d16cd032cea0f5dca4d9f1000000000000000000019bba046e8381b006eb0bf00a37e519563502a39f294b3fa77fea81566839936844cbf5b91c125172b8f2912,2575633,stale,VALID,1725c191
556976,00000000000000000004b7c8cd40132c94085abc0bf2448c1696788fb1ac5460,00000000000000000030967160f0687e7fd730783b7ff9fb78349b01d44eff19,1546598964,173218a5,03b07f0841d70bce8da349de41d70bce8d10121f2f4254432e544f502ffabe6d6d3402d3e86f3341f50539233704a8bea5d384409525e371cb1f4e4dcf31caa04b8000000000000000e3001fc2abf9000000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9edf34bbe13703de02db920492414591fa2b60aa94889e2617a59c58d30b87d16be,0000002019ff4ed4019b3478fbf97f3b7830d77f7e68f060719630000000000000000000b0d692718163526139f2aff6e9af1bbcbf851ee0002297743674b2de42667e22343a2f5ca5183217b4a73d97,2658628,stale,VALID,173218a5
565104,000000000000000000201914202cee0fff4d2c320618c7bd5515a9cda49f7354,0000000000000000000abf97777ae9d54e0b578e76be782ce58e282820e4ae98,1551395706,172e5b50,03709f0841d71e1ae700dd6c41d71e1ade3adc2c2f4254432e544f502ffabe6d6d5cc5cba8fa9960e2e280dada95239c8c4ae8ccacfb3f8e744e192e9f5225b1798000000000000000ee009ed08fe455d500000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed22e079e88c98ef84c2e78a7b0832714eb4189e3488ece60a64c513b6842f6b4f,0000002098aee42028288ee52c78be768e570b4ed5e97a7797bf0a000000000000000000d1ce5ca669586efe24e42d33bf847501044f63b57b32be36d06b9e7560ab9afb7a6b785c505b2e172a369253,2716389,stale,VALID,172e5b50
565106,00000000000000000028f07e327704f901b4235cd5ca5dbb1cda979e2bc091cd,0000000000000000002d66d8cd9087827d4a95c34b124b1a6b61e19c0c58c768,1551397684,172e5b50,03729f08043573785c642f4254432e434f4d2ffabe6d6d3b786b93e2ee514370843bd96041976556cfc6abebdd53bcab3aea8c2d1529c3080000000ca3d3af5b1a53fdc106010000000000,001497cfc76442fe717f2a3f0cc9c175f7561b661997;6a24aa21a9ed57853acb0cb6cdedbbe764d78d23ada82fe38183523983bc34f049b648a64eb2;52534b424c4f434b3a77fed05794debb28502766ef440c429bfe5e70bcf624b03d37982c36b59d1b4a,0000002068c7580c9ce1616b1a4b124bc3954a7d828790cdd8662d000000000000000000f3fb97b9cf0fd908bee3fbfb9cb4c07ce42b44c7ef017b7c0e49d933c93634913473785c505b2e176d1e5926,2716417,stale,VALID,172e5b50
573380,0000000000000000001cadc54b0486649ddb0e2b7e36c97ae4e1e6a26e1e05df,0000000000000000000771b3a620d64596c746d6928a0f053db4f1ebac768b68,1556316576,172c4e11,03c4bf0841d730e068ef7e9441d730e0683be7472f4254432e544f502ffabe6d6dfa77b434da45c857dfc212cd315aae759ef94072e3a0293dfd8315ba269ddab88000000000000000c60085788a73000000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9edeac61f6954cde4394364c2467ea94120d89e48e451dae985d690cc0017eb5a50,00000020688b76acebf1b43d050f8a92d646c79645d620a6b371070000000000000000009959d251d07218c5f8ef9f394d02daf52ddc3311b6e49b764836d1a29cd6a93ea081c35c114e2c175a1da286,2778423,stale,VALID,172c4e11
574287,00000000000000000020d41cb0805977d7f4446684867183f2baf8f0c10ce867,00000000000000000020cc03aa308463cf185b67af7edcff93b395e681cf72ee,1556813564,172c4e11,034fc30841d732c5bc5374b241d732c5bbd359662f48756f62692ffabe6d6d5fb3d8256952795707b6a23d04432301af9c85df05c3c139335dd49922c3094b8000000000000000e700731cc2b1290400000000,76a91494155788e7233d7bea9aa29feb2ed37bc878c40b88ac;6a24aa21a9ed24db124eaf5de27571c02a875ce659fe8f58ccad41a5eb85bbb3950530fb2937,00004020ee72cf81e695b393ffdc7eaf675b18cf638430aa03cc200000000000000000005f7ff2f27f0fe1efc10881623034596fa37df6ccfc9f289eab9c4b4d460d6d92fc16cb5c114e2c17095ea7b6,2784555,stale,VALID,172c4e11
579169,0000000000000000000705b5fb5ffadd8bb33bb8e7b0cfd6c9c295fe9267e992,0000000000000000001189cebc9f85d3e7535f283a56a211930ffc9cea3a3923,1559638683,1725bb76,0361d60841d73d8ca7054c8f41d73d8ca6ae653d2f4254432e544f502ffabe6d6d56780691a9ea2ea09ba467d1c9201d13ce451f38775c243f4957f49895f5e7ff8000000000000000d3002cb1fec5def400000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed3c2cd3cbafe6e723b83de8936ac74cd81ed69129e66575b70d43c928cace2b9a,0000002023393aea9cfc0f9311a2563a285f53e7d3859fbcce891100000000000000000051c0e247fc48ed3dd5089799108c48f3d6d2a9da67244a8aa3d466bb5ffec1269b32f65c76bb25172850a255,2820265,stale,VALID,1725bb76
586151,00000000000000000017a3d0245aaf6ea57a78d4cb2f7f61c4e07664105e3407,000000000000000000006447f6c4d727e0efa6a03e815846898170c59fd47d18,1563594240,171f0d9b,03a7f10841d74ca3804dd91a41d74ca3801ebe792f4254432e544f502ffabe6d6d474e907d6e5f4e4bdd3551ddb4bb6a1d0547728ec56df39aee91e438ca28b7118000000000000000d200cc6fa404000000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9edfe1c19aa43c7b611207713ef05769395f74de84c6c5a1675d7607207c42145d3;6a24b9e11b6dc53b39730e39dd2b61fd6cb3a7e72441c1851812cf631a31db6b331ce91b9abe,00004020187dd49fc57081894658813ea0a6efe027d7c4f6476400000000000000000000e4c878e66a5667ef8472fed0b03cfd2dffefcad1eaec91a65868fbc629d0413c008e325d9b0d1f17f4ddf7dc,2871011,stale,VALID,171f0d9b
588206,0000000000000000000b4b3daf230a489c3afc7238c1ae788c611e1c6c448ad9,0000000000000000000f0b8240612238429b8b1e5ec276a7e4b41ac867fea954,1564740407,171f3a08,03aef90841d75102cf0efc4e41d75102cdd6a8262f4254432e544f502ffabe6d6d134f97cd1a3bbc8b115d8aea45c0051b51010d907be717504317f9486276f48a8000000000000000e3005b88ed55010000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9edc4ef3cee9b5ec76bc9b84be55ef65a5d5b2abe2ba6cfda86027301f55c6af1ee;6a24b9e11b6d0c7c4322b03fcd93268523208df02224091d9361a701ea6c1538942a65861ffc,0000c02054a9fe67c81ab4e4a776c25e1e8b9b4238226140820b0f000000000000000000e1ca226eb5f4053b0b9fbdc46a67d85356c1ed46354b49af5333a559f3e6b961370b445d083a1f174fbac905,2886102,stale,VALID,171f3a08
597567,00000000000000000001426527cb1d50ef29977ee242330a6b5149e1bceea29f,0000000000000000000fa3fd7ba71c986736a7edd3bca25fb748bfc7adfd37fa,1570034246,17160f24,033f1e0941d76534924c4d3341d7653491a11e5d2f45324d2026204254432e544f502ffabe6d6dc6d4edf965e55feed44d3a5ccaf16695b2d2dd076f9bc1073de7a002244203f88000000000000000e700ee347c8a010000000000,76a9140b904a4a8590d0ccff680bb8adc4ae4fe49f890a88ac;6a24aa21a9ed5c3797f72e8ae7b79d29f38660f105b12062c33d9f152b7fb4290a79ec613fa0;6a24b9e11b6d2db3a67a2aef9f298f69955126f9eea9bc8a7a4beca699f450eb87b788b52e8b,00004020fa37fdadc7bf48b75fa2bcd3eda73667981ca77bfda30f0000000000000000009209bd704d98bb2a72671e4bd43c385cff8e58eb5edd2c648032e7ca1150129446d2945d240f16174f851743,2930952,stale,VALID,17160f24
607673,0000000000000000000fac4555d885511f322497c2f44c6e3db90057f5cfb463,0000000000000000000f330898015fa41ea34d4abcb92c4a77c5b9eaa1c8ac5a,1576084056,1715dbd2,03b9450941d77c4896cdfcfd41d77c489647199f2f315448617368263538434f494e2ffabe6d6dd64b71c87fd891bfee7e74b60cacb95d55bd9b18d42095a74fd8c710120a516c8000000000000000dc0062ae1645010000000000,76a9142220867b1e79c403fafe339a809a65ed01cb697988ac;6a24aa21a9ed65b24a73e805e54a430dc90485f4992cd1f9cfae3b4fed7a0406a1f131d0fe31;6a24b9e11b6d35e299b5c78274205bdb85116f025c3407bd1aca019b66cca17ef0d3916afda0,000040205aacc8a1eab9c5774a2cb9bc4a4da31ea45f019808330f0000000000000000003336bfd313f0ea5008d6f0c1c6891665a8596d994256065b543958b493fe04d75822f15dd2db15178a009d34,2971481,stale,VALID,1715dbd2
