btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,nmc_height,classification,validation_status,expected_nbits,btc_bip34_height,btc_parent_height,nbits_match,post_bch_fork
153211,00000000000000325e60dbf484c7796416ff0ca7b31b208607bb40e8a090ff7e,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1322153493,1a0df0ca,70736a04caf00d1a04b5dc5021522cfabe6d6da07cb38440e9ac6a5f9a5771fb1bec368a5c7b7c5c0f11f22ed03eb6af398a5801000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d00000000000099912059dc7b4083f5e48a62c08a74bdef5cab5064b35ef5a6f1fb3d6797e2aa1576ce4ecaf00d1a01a63b3b,30245,stale,VALID,1a0df0ca,,153210,true,false
153211,0000000000000aff6b9ec0a722984d5a3976f82f5a4cf3f1f6d568feaba02b03,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1322161706,1a0df0ca,70736a04caf00d1a04d86e9621522cfabe6d6d68befed6eb761f49b947585f3c25eda1d7593715f236dacf5f95131f4e5d773201000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d000000000000aab5f44ca41305996073cd4900e67f712135be480582c53345a9ea76136fb7dd2a96ce4ecaf00d1a01871737,30260,stale,VALID,1a0df0ca,,153210,true,false
153211,0000000000000318413875fda21f6f2546b23c5d7774593460a43164ac4bb496,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1322260075,1a0df0ca,70736a04caf00d1a0468796d24522cfabe6d6d644d68f667472c4ffd60b95b77d9bd88b5579fb0fdddd1ce364e04d423b637cc01000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d000000000000702f901a47335ed22726feced6b705645237886c131b814fe35a67c97eeebd5d6b16d04ecaf00d1a041ac2ae,30435,stale,VALID,1a0df0ca,,153210,true,false
154920,00000000000007fa2a841c44ec2c123a3fdd3218846028c14b6c746f4d86d811,00000000000000d67c93180bfb28073f3d94e7a259f3dc9e3abeaefdbd6561f1,1322357292,1a0e119a,70736a049a110e1a04f3cc611d522cfabe6d6dde6a3046f20b20e177f495256ae4839ebc7339a1157b2bb91fe7e0b0aa7a0c8e01000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,01000000f16165bdfdaebe3a9edcf359a2e7943d3f0728fb0b18937cd600000000000000bea3dce57ef5ac0ed6a7cfc3419a9d18c1f47950f4ec8b79454f1357292e26082c92d14e9a110e1acf28a1b6,30595,stale,VALID,1a0e119a,,154919,true,false
153211,0000000000000578c83a60c91f7836483a21c818570ae5d7c84a6d4b84751039,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1322396087,1a0df0ca,70736a04caf00d1a046ebe1b28522cfabe6d6d5deff0c6d8b8cddbb1c0e9092371eb68789de7493e8ecf399a6aac48ccc8d3b601000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d00000000000048aea6fcbb56ad6eeaca5faa743386329d6b4f7a68c15f5b118c2824663b43dab729d24ecaf00d1a04165b9e,30654,stale,VALID,1a0df0ca,,153210,true,false
153211,0000000000000022e96ad66d9de209f1971c0c1cab004fbd8f9d1162b9ac7125,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1322398740,1a0df0ca,70736a04caf00d1a0457e53428522cfabe6d6d5578a72fd9dcf9bdfebbade57c1b6f5035aa244426e958ff884b6a800db3dfdb01000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d000000000000ba0afdef5a18e817b828df1f12c900bf1b5657ca88a0e8eff18bbb0e84bed0af1434d24ecaf00d1a1a026f4f,30656,stale,VALID,1a0df0ca,,153210,true,false
153211,0000000000000a5390f91542baf381da8595c188f4115c4db11d4114ee7cfd7a,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1322398939,1a0df0ca,70736a04caf00d1a0466d43628522cfabe6d6d94a47a4cbcfc10753a5d80cd418ec64bcb826465c081ceaeb39c19dd28dbfdaf01000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d000000000000da947aaadb5483b2b8bbc4e0670d32c33fb6358c09152c320f355b7c6297c730db34d24ecaf00d1a3321b6ec,30657,stale,VALID,1a0df0ca,,153210,true,false
154993,000000000000027929ec38163c86e51c4af22c9e5e4f34f68f461dc41ec1947d,00000000000001642aa145ec05b2862c70ac212e9891f5ca46b34e082d325354,1322416645,1a0e119a,70736a049a110e1a04ec30dd1e522cfabe6d6d7aac621e0707dc3ce83851e36e85045e54ae934ee8faf4a3bca0496ed87d772f01000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000005453322d084eb346caf591982e21ac702c86b205ec45a12a64010000000000000906e3c80df69d82f9494ecb8fb9a9c45914a82829ae6dcf934dd7e6fbf22508057ad24e9a110e1a514dc009,30685,stale,VALID,1a0e119a,,154992,true,false
153211,0000000000000d331fe03597a9cd3a841359affafc6c602466540cc466e315cc,0000000000000d33156780185a43e0af699f0b5fd219d96464710866dfea8a3f,1322463481,1a0df0ca,70736a04caf00d1a047d47f429522cfabe6d6d0378692f200d41e9ab76a4c3b27b420d9d3bdec6cf491e9eb3fe9cba5959d44201000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,010000003f8aeadf6608716464d919d25f0b9f69afe0435a18806715330d0000000000008de8bc6349c190e9d245a265df36e3959f12effc4549706ac75890563204dcbef930d34ecaf00d1a0c719e3b,30762,stale,VALID,1a0df0ca,,153210,true,false
155243,00000000000002a50afc4d3212fde0470f7d7d0b4d4f0433a7ad1e41cd92ccb4,0000000000000f54c14ca34e2298eb5acc7770e351a328b37762c7e480a85ac7,1322582054,1a0f61b1,70736a04b1610f1a04b9144b23522cfabe6d6d7258ee54520044d7573a5eb51fec7dff8ba56d567679c39b47319a78511ca93f01000000000000004d696e656420627920425443204775696c6420ac1eeeed88,NF3a1m3MzdUh2FgTyVCZezT7BPynKnT7HD,01000000c75aa880e4c76277b328a351e37077cc5aeb98224ea34cc1540f0000000000001945f248c7e33bd281595c33b9b2837f38fd233d2618097784d83f4604da88852600d54eb1610f1a58bcbf4d,30977,stale,VALID,1a0f61b1,,155242,true,false
