chain,btc_header_hash,child_height,child_block_hash,child_block_time,verification,note
namecoin,0000000000000364ff584a81aff5f3383413c9737c077d0e931ece2efba42b9a,32044,0f96651861a932fe40e24d92bd1c37257af7b939e119ac253c6c82e55755d090,1323157834,auxpow_parent_match,
namecoin,0000000000000e6e85b08d8cb141cf89076a48e236847443cac442a92496b31f,32192,0d84c494914e6a44eb5d69496e9f7a675b6bcb390c880aa8d3d42bc688cb82f1,1323238668,auxpow_parent_match,
namecoin,0000000000000b070e2a022cf21ba4ff777a349629d6cd32d4d6a65b04f9eab4,32259,cfcc5154d19611643776145799824e8ad719dea82a21730a408bf3a025212132,1323286643,auxpow_parent_match,
namecoin,0000000000000ce0a7ab9630369206973b8fc0ca68eb20407fe2c45b6a4ad9d3,32296,e45072085c1dd482d3082de3e3a22bdde7d5b5c0a8df6075e03d5004d74612a3,1323312534,auxpow_parent_match,
namecoin,000000000000013cf4f2a2f77a3d9ec9ce4bb9b9a1f3efc08f4d31548a161409,32371,051827b635270f4eeb0b950435fc98b2cb15a36a9d82cf6ee41cb99c09bdfbcc,1323362649,auxpow_parent_match,
namecoin,00000000000009ed9210b52da2fb830c0792ae53540085953e5f83ea5226108e,32542,c424951d0f5b9f8b503cfc0f536b65d3a83be20625c05827050b40a9d8df4809,1323459585,auxpow_parent_match,
namecoin,0000000000000019e170446ae11e08d39f09666350bef756da94ec3e001692a0,32652,65d99feee29622046c0f1010556a814892556b5560e55d711e564ef6d44c701b,1323525855,auxpow_parent_match,
namecoin,000000000000044add94215000973793ceddbfff7389833f331565ffdb41657e,33076,cafca5e2e1f128c2202ecf34f58e612b3f0fab7b68c7535ae2d798ebdd212dfb,1323791591,auxpow_parent_match,
namecoin,000000000000015443e903b801bc9230f41d1d06c8b94019dbbe2decfa877f08,33355,891527163808334b5455fa5608df1f1d3e65ee3f2daf0707e82fc5a883914978,1323976002,auxpow_parent_match,
namecoin,0000000000000bcf81cea859bcfd6c35346d1ed123216a660d97e8349b5e2a0e,33393,4557b43b51b3dc699efe3f50b61523481b39dfdae43146bbda47208032488bed,1323997762,auxpow_parent_match,
namecoin,00000000000009becfdde8b8ca3d6f39c123c34b63c6d73f87a506cfa7afd8a5,33648,7c83645b5176bb9b0c3b6f2a240e6be090636d21a0b42274bade0d1d951f5bf7,1324160719,auxpow_parent_match,
namecoin,0000000000000b35c2c7e698f6666ccc71f865429446bf15520bafcd7fa2f706,35109,29a74ba84a9e91690c1b47b9f45f4ca341a19aa267341397782b586a700b911d,1324989483,auxpow_parent_match,
namecoin,0000000000000057888abb81de9d620c0e95f1c4512cf00ac6161f2f2de60a50,35389,508ac17af1da5e00d378aaf07dd8465e584d75a74393b173e34888b2243e1a1d,1325138606,auxpow_parent_match,
namecoin,00000000000009c74ac94954cbbff14c696e32ccf6b1e30d504379c7a5b6b5ba,35492,644d54cbda2534d1c3ee522030eabadf5a94b55bf6fe168571d84d3101e9035f,1325202194,auxpow_parent_match,
namecoin,000000000000048f8a5d0008cb675f800afc4ff024646956789d00ab86b08f93,36150,3c84fe1e9ebb2a5beded3587cd1bc7f21aafa59348583e411889cd8b87792d2a,1325540164,auxpow_parent_match,
namecoin,00000000000003aabedaeb30a94a3c2a4ba9a1437e9f170adc578114593108f9,36195,edea7d8e8282a3d9c116b52399addc4edd90a180ceaea1ba4910bdddf288de2d,1325567241,auxpow_parent_match,
namecoin,000000000000038c5bd2159fdb8ca902e9981f4f976c3ba508b445826df31c64,36289,34fcc4f4139c9ea334e979bf1e2ccbd94b812c85be120d3473b58664778d4100,1325609601,auxpow_parent_match,
namecoin,00000000000002c2d6713cccbf3b66b9c22f82861fbe953b6bfbd0bb96d0764c,36411,923c4952ffd562fee6fc6f35feb6ecd7ae580267413e4c5f43af46d9660a2676,1325674833,auxpow_parent_match,
